 L   n  channel     S_Regge=sum A d     sum A d^2    max|deficit|   cone correction (1/12pi)sum A d^2 / (S_Regge/3)
 16   1  traceless        -3.11891   9.509267e-01   3.9010e-03    -0.02426
 16   1  conformal         9.35965   1.426401e+00   4.0003e-03    +0.01213
 32   1  traceless       -12.59654   9.695031e-01   9.8545e-04    -0.00612
 32   1  conformal        37.80143   1.454258e+00   1.0109e-03    +0.00306
 64   1  traceless       -50.50763   9.741983e-01   2.4700e-04    -0.00153
 64   1  conformal       151.57031   1.461299e+00   2.5341e-04    +0.00077
 32   2  traceless       -49.90251   1.521483e+01   3.9010e-03    -0.02426
 32   2  conformal       149.75438   2.282242e+01   4.0003e-03    +0.01213
