time,occupied,vacancies,birth_channels,slide_channels,birth_events,slide_events,site_reuses,max_site_births
0,0,64,192,0,0,0,0,0
0.0063295468675714497,2,62,181,10,1,0,0,1
0.016123326366133294,4,60,170,20,2,0,0,1
0.018720578717747363,6,58,159,30,3,0,0,1
0.024181183671542712,8,56,148,40,4,0,0,1
0.02483127722044948,10,54,137,50,5,0,0,1
0.026266573120174271,12,52,129,54,6,0,0,1
0.031032590113310689,14,50,122,56,7,1,0,1
0.035149290849507173,16,48,112,64,8,1,0,1
0.038065019038937289,18,46,104,68,9,1,0,1
0.055583862173985324,20,44,97,70,10,1,0,1
0.061512665635270067,22,42,89,74,11,1,0,1
0.063394630350255082,24,40,82,76,12,1,0,1
0.067299111184712587,26,38,73,82,13,2,0,1
0.073098196623485642,28,36,65,86,14,2,0,1
0.078605924089872284,30,34,60,84,15,2,0,1
0.10064739762852074,32,32,51,90,16,7,0,1
0.11434584018358267,34,30,45,90,17,7,1,2
0.15138587790860392,36,28,38,92,18,12,1,2
0.21272267648280632,38,26,34,88,19,14,1,2
0.26824315813440169,40,24,28,88,20,23,2,2
0.27847695702901437,42,22,24,84,21,23,3,2
0.2931247878682256,44,20,20,80,22,23,3,2
0.34720352742567395,46,18,14,80,23,26,4,2
0.45350317166900284,48,16,14,68,24,36,6,2
0.4553132148907505,50,14,10,64,25,36,8,2
0.53229910180177753,52,12,12,48,26,45,8,2
0.59254794931312627,54,10,10,40,27,45,9,2
0.71399000726119477,56,8,3,42,28,48,11,3
1.6204309343770098,58,6,2,32,29,89,13,3
1.7789258311270693,60,4,1,22,30,94,15,3
2.2141537924168189,62,2,0,12,31,100,17,3
4.765136813732183,64,0,0,0,32,128,19,3
