time,occupied,vacancies,births,translations,cube_exchanges,parallel_swaps,attempts,reused_sites,max_site_births,nx,ny,nz,ST1,SL1,ST2,SL2,zero_mode_power
0,48,16,0,0,0,0,0,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.01,48,16,0,0,0,0,8,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.012663801734674032,48,16,0,0,0,0,11,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.016037187437513305,48,16,0,0,0,0,13,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.020309176209047358,48,16,0,0,0,0,15,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.025719138090593452,48,16,0,0,0,0,21,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.032570206556597842,48,16,0,0,0,0,23,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.041246263829013523,48,16,0,0,0,0,27,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.052233450742668427,48,16,0,0,0,0,38,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.066147406412301504,48,16,0,0,0,0,54,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.083767764006829212,48,16,0,0,0,0,65,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.10608183551394489,48,16,0,0,0,0,81,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.13433993325989005,48,16,0,0,0,0,103,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.17012542798525895,48,16,0,0,0,0,132,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.21544346900318842,48,16,0,0,0,0,160,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.2728333376486769,48,16,0,0,0,0,218,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.34551072945922218,48,16,0,0,0,0,266,0,1,8,8,8,6.0129598500708159e-33,4.8862627969753765e-33,0.99999999999999978,0.99999999999999978,2.9999999999999991
0.43754793750741861,48,16,0,0,0,2,325,0,1,8,8,8,0.041666666666666644,0.12499999999999993,0.70833333333333337,0.45833333333333326,1.375
0.55410203300094929,48,16,0,2,0,3,416,0,1,8,8,8,0.11458333333333333,0.14583333333333326,0.47916666666666663,0.24999999999999994,0.87499999999999978
0.70170382867038328,50,14,1,6,0,3,529,1,2,9,8,8,0.067708333333333315,0.098958333333333315,0.40104166666666663,0.21354166666666663,0.953125
0.88862381627434062,50,14,1,11,0,3,652,1,2,9,8,8,0.12499999999999997,0.026041666666666657,0.328125,0.10937499999999999,0.828125
1.1253355826007658,56,8,4,15,0,3,826,6,2,9,10,9,0.11979166666666666,0.052083333333333329,0.35416666666666669,0.052083333333333356,0.78125
1.4251026703029985,56,8,4,16,0,3,1073,6,2,9,10,9,0.109375,0.052083333333333329,0.41666666666666663,0.010416666666666668,1.15625
1.8047217668271713,58,6,5,21,0,4,1377,7,2,9,11,9,0.18229166666666666,0.015624999999999993,0.30729166666666663,0.015625,0.921875
2.2854638641349929,60,4,6,24,0,4,1751,8,2,9,11,10,0.20312499999999994,0.020833333333333329,0.33333333333333326,0.010416666666666664,0.84375
2.8942661247167525,60,4,6,25,1,4,2199,8,2,9,11,10,0.19791666666666666,0.020833333333333329,0.15624999999999997,0.031249999999999997,0.53125
3.6652412370796288,62,2,7,29,2,4,2795,9,2,9,11,11,0.20312499999999994,0.015624999999999997,0.28645833333333326,0.015624999999999997,0.67187500000000022
4.641588833612782,62,2,7,30,2,4,3584,9,2,9,11,11,0.20312499999999997,0.015624999999999997,0.28645833333333331,0.015624999999999997,0.54687500000000022
5.8780160722749137,62,2,7,31,5,4,4497,9,2,9,11,11,0.22395833333333329,0.015624999999999997,0.36979166666666669,0.015624999999999993,0.67187500000000022
7.443803013251693,62,2,7,33,8,4,5706,9,2,9,11,11,0.27604166666666663,0.015624999999999993,0.265625,0.015624999999999993,0.42187500000000017
9.4266845511788624,62,2,7,33,10,4,7256,9,2,9,11,11,0.27604166666666663,0.015624999999999993,0.265625,0.015624999999999993,0.42187500000000017
11.937766417144383,62,2,7,37,14,5,9191,9,2,9,11,11,0.18229166666666666,0.015624999999999997,0.16145833333333331,0.015624999999999993,0.671875
15.117750706156624,62,2,7,39,21,5,11580,9,2,9,11,11,0.27604166666666663,0.015624999999999993,0.265625,0.015624999999999993,0.42187500000000017
19.144819761699591,62,2,7,47,25,5,14638,9,2,9,11,11,0.27604166666666663,0.015624999999999993,0.265625,0.015624999999999993,0.42187500000000017
24.24462017082331,62,2,7,53,35,5,18526,9,2,9,11,11,0.20312499999999994,0.015624999999999997,0.28645833333333326,0.015624999999999997,0.67187500000000022
30.702906297578512,62,2,7,57,45,6,23506,9,2,9,11,11,0.22395833333333329,0.015624999999999997,0.36979166666666669,0.015624999999999993,0.67187500000000022
38.881551803080917,62,2,7,69,56,6,29914,9,2,9,11,11,0.27604166666666663,0.015624999999999993,0.265625,0.015624999999999993,0.42187500000000017
49.238826317067463,62,2,7,86,76,7,37863,9,2,9,11,11,0.27604166666666669,0.015624999999999997,0.098958333333333301,0.015624999999999995,0.79687499999999967
62.355073412739152,62,2,7,105,97,7,47828,9,2,9,11,11,0.20312499999999994,0.015624999999999997,0.28645833333333326,0.015624999999999997,0.67187500000000022
78.9652286849973,62,2,7,125,128,7,60475,9,2,9,11,11,0.30729166666666663,0.015624999999999997,0.203125,0.015624999999999997,0.67187500000000022
100,62,2,7,164,159,14,76734,9,2,9,11,11,0.16145833333333331,0.015625,0.24479166666666671,0.015624999999999993,1.046875
