one (0,) 1/8 -1/16 -1/16
one (1,) 1/8 -1/16 -1/16
pair (0, 0) 1/2 -1/2 -3/8
pair (0, 1) 1/2 -1/2 -3/8
pair (1, 0) 1/2 -1/2 -3/8
pair (1, 1) 1/2 -1/2 -3/8
disjoint (0, 0) 1/4 -1/8 0
disjoint (0, 1) 1/4 -1/8 0
disjoint (1, 0) 1/4 -1/8 0
disjoint (1, 1) 1/4 -1/8 0
star (0, 0, 0) 9/8 -27/16 -3/8
star (0, 0, 1) 9/8 -27/16 -3/8
star (0, 1, 0) 9/8 -27/16 -3/8
star (0, 1, 1) 9/8 -27/16 -3/8
star (1, 0, 0) 9/8 -27/16 -3/8
star (1, 0, 1) 9/8 -27/16 -3/8
star (1, 1, 0) 9/8 -27/16 -3/8
star (1, 1, 1) 9/8 -27/16 -3/8
path (0, 0, 0) 7/8 -11/10 -13/80
path (0, 0, 1) 7/8 -53/48 -1/6
path (0, 1, 0) 7/8 -9/8 -3/16
path (0, 1, 1) 7/8 -53/48 -1/6
path (1, 0, 0) 7/8 -53/48 -1/6
path (1, 0, 1) 7/8 -9/8 -3/16
path (1, 1, 0) 7/8 -53/48 -1/6
path (1, 1, 1) 7/8 -11/10 -13/80
pair_edge (0, 0, 0) 5/8 -9/16 0
pair_edge (0, 0, 1) 5/8 -9/16 0
pair_edge (0, 1, 0) 5/8 -9/16 0
pair_edge (0, 1, 1) 5/8 -9/16 0
pair_edge (1, 0, 0) 5/8 -9/16 0
pair_edge (1, 0, 1) 5/8 -9/16 0
pair_edge (1, 1, 0) 5/8 -9/16 0
pair_edge (1, 1, 1) 5/8 -9/16 0
