L=1: whole=0 indiv=0 diff=0
L=2: whole=3 indiv=6 diff=3
L=3: whole=24 indiv=36 diff=12
L=4: whole=81 indiv=108 diff=27
L=5: whole=192 indiv=240 diff=48
L=6: whole=375 indiv=450 diff=75
L=7: whole=648 indiv=756 diff=108
L=8: whole=1029 indiv=1176 diff=147
L=9: whole=1536 indiv=1728 diff=192
L=10: whole=2187 indiv=2430 diff=243
L=11: whole=3000 indiv=3300 diff=300
L=12: whole=3993 indiv=4356 diff=363
SUMMARY: plaquette-count falsifier did not fire: whole-group 3(L-1)^3 vs individual 3L(L-1)^2 differ by 3(L-1)^2 for L=1..12; L=2 is 3 vs 6 (not the known Casimir 8/3 HIT)
