weights (10.0,1.0,2.0) scale c=1.0000 (1) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.423 0.294 0.363 0.39
     2 3.526 0.326 0.271 0.37
     4 3.603 0.365 0.225 0.47
     9 3.746 0.408 0.197 0.92
    18 3.845 0.446 0.181 1.08
    38 3.931 0.495 0.181 0.92
    79 4.112 0.561 0.161 0.94
   163 4.302 0.629 0.144 1.09
   338 4.462 0.692 0.131 1.80
   700 4.656 0.754 0.123 3.57
  1449 4.867 0.795 0.114 4.78
  3000 5.000 0.824 0.113 11.05
SUMMARY: p=10.0 q=1.0 r=2.0 c=1.0000 rho=0.5 L=24 nbrs=4.969 nbrs_over_random=1.656 aligned=0.817 S=9.24 accept=0.113 records=6894 seconds=114
