weights (14.0,1.0,2.0) scale c=2.0000 (2) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.626 0.291 0.305 0.34
     2 2.780 0.325 0.202 0.30
     4 2.941 0.360 0.153 0.29
     9 3.180 0.388 0.129 0.42
    18 3.387 0.416 0.113 0.42
    38 3.650 0.446 0.103 0.48
    79 3.893 0.479 0.081 0.67
   163 4.147 0.510 0.068 0.88
   338 4.234 0.561 0.074 1.06
   700 4.439 0.612 0.054 1.42
  1449 4.619 0.679 0.045 2.16
  3000 4.743 0.736 0.044 3.89
SUMMARY: p=14.0 q=1.0 r=2.0 c=2.0000 rho=0.3 L=24 nbrs=4.716 nbrs_over_random=2.620 aligned=0.727 S=3.94 accept=0.043 records=4173 seconds=117
