weights (7.0,1.0,2.0) scale c=0.3750 (neutral) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.577 0.352 0.471 0.13
     2 0.586 0.391 0.456 0.15
     4 0.592 0.414 0.474 0.20
     9 0.595 0.414 0.458 0.09
    18 0.590 0.439 0.449 0.10
    38 0.597 0.393 0.461 0.07
    79 0.597 0.489 0.446 0.11
   163 0.648 0.456 0.464 0.25
   338 0.597 0.427 0.452 0.12
   700 0.626 0.462 0.456 0.09
  1449 0.652 0.426 0.457 0.16
  3000 0.605 0.457 0.456 0.21
SUMMARY: p=7.0 q=1.0 r=2.0 c=0.3750 rho=0.1 L=24 nbrs=0.608 nbrs_over_random=1.014 aligned=0.441 S=0.10 accept=0.456 records=1396 seconds=178
