weights (12.0,1.0,2.0) scale c=2.0000 (2) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.332 0.271 0.363 0.12
     2 1.437 0.313 0.273 0.14
     4 1.616 0.371 0.230 0.13
     9 1.768 0.421 0.219 0.12
    18 2.044 0.442 0.191 0.10
    38 2.292 0.463 0.181 0.26
    79 2.636 0.496 0.169 0.27
   163 3.149 0.545 0.147 0.38
   338 3.539 0.614 0.112 0.49
   700 3.801 0.662 0.118 1.57
  1449 4.162 0.720 0.094 3.41
  3000 4.344 0.778 0.075 4.56
SUMMARY: p=12.0 q=1.0 r=2.0 c=2.0000 rho=0.1 L=24 nbrs=4.300 nbrs_over_random=7.167 aligned=0.771 S=4.51 accept=0.083 records=1396 seconds=111
