weights (12.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.013 0.390 0.404 0.33
     2 2.091 0.447 0.337 0.31
     4 2.179 0.483 0.301 0.31
     9 2.272 0.534 0.291 0.27
    18 2.350 0.589 0.276 0.18
    38 2.487 0.629 0.274 0.30
    79 2.643 0.703 0.250 0.36
   163 2.850 0.769 0.243 0.68
   338 3.178 0.850 0.235 3.15
   700 3.573 0.906 0.229 3.52
  1449 3.887 0.937 0.210 3.60
  3000 4.135 0.959 0.208 15.91
SUMMARY: p=12.0 q=1.0 r=2.0 c=0.5000 rho=0.3 L=24 nbrs=4.031 nbrs_over_random=2.240 aligned=0.953 S=13.00 accept=0.222 records=4173 seconds=112
