weights (12.0,1.0,2.0) scale c=2.0000 (2) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.631 0.267 0.305 0.52
     2 3.726 0.296 0.189 0.49
     4 3.870 0.319 0.157 0.52
     9 4.047 0.349 0.126 0.55
    18 4.215 0.378 0.104 0.41
    38 4.388 0.403 0.083 0.67
    79 4.510 0.444 0.073 0.63
   163 4.616 0.482 0.075 0.74
   338 4.787 0.525 0.060 0.98
   700 4.909 0.576 0.058 1.45
  1449 5.033 0.621 0.048 2.44
  3000 5.115 0.674 0.044 2.97
SUMMARY: p=12.0 q=1.0 r=2.0 c=2.0000 rho=0.5 L=24 nbrs=5.113 nbrs_over_random=1.704 aligned=0.664 S=3.46 accept=0.045 records=6894 seconds=128
