weights (14.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.030 0.399 0.395 0.33
     2 2.117 0.449 0.313 0.32
     4 2.197 0.506 0.295 0.24
     9 2.306 0.559 0.271 0.31
    18 2.421 0.614 0.251 0.28
    38 2.592 0.680 0.241 0.34
    79 2.828 0.752 0.225 0.39
   163 3.060 0.825 0.208 0.86
   338 3.461 0.890 0.184 1.65
   700 3.798 0.933 0.185 4.34
  1449 3.974 0.944 0.188 5.62
  3000 4.212 0.969 0.184 14.57
SUMMARY: p=14.0 q=1.0 r=2.0 c=0.5000 rho=0.3 L=24 nbrs=4.139 nbrs_over_random=2.299 aligned=0.963 S=11.44 accept=0.179 records=4173 seconds=125
