weights (14.0,1.0,2.0) scale c=1.0000 (1) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.049 0.324 0.414 0.13
     2 1.153 0.406 0.356 0.15
     4 1.297 0.482 0.319 0.16
     9 1.321 0.502 0.315 0.24
    18 1.529 0.545 0.286 0.29
    38 1.696 0.611 0.265 0.38
    79 1.828 0.664 0.249 0.17
   163 2.142 0.679 0.250 0.71
   338 2.630 0.802 0.222 0.70
   700 3.188 0.867 0.209 1.52
  1449 3.656 0.922 0.176 1.90
  3000 3.946 0.942 0.156 2.63
SUMMARY: p=14.0 q=1.0 r=2.0 c=1.0000 rho=0.1 L=24 nbrs=3.914 nbrs_over_random=6.523 aligned=0.936 S=2.47 accept=0.156 records=1396 seconds=110
