weights (16.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.177 0.353 0.372 0.45
     2 3.200 0.401 0.277 0.49
     4 3.252 0.449 0.238 0.43
     9 3.338 0.516 0.205 0.45
    18 3.424 0.577 0.192 0.26
    38 3.558 0.656 0.177 0.32
    79 3.714 0.731 0.154 0.39
   163 3.935 0.806 0.130 0.57
   338 4.047 0.855 0.119 0.50
   700 4.239 0.886 0.120 0.62
  1449 4.429 0.918 0.106 0.46
  3000 4.608 0.944 0.104 1.56
SUMMARY: p=16.0 q=1.0 r=2.0 c=0.5000 rho=0.5 L=24 nbrs=4.562 nbrs_over_random=1.521 aligned=0.939 S=0.73 accept=0.107 records=6894 seconds=194
