weights (7.0,1.0,2.0) scale c=2.0000 (2) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.631 0.249 0.313 0.52
     2 3.743 0.269 0.208 0.53
     4 3.913 0.290 0.178 0.59
     9 4.084 0.313 0.151 0.64
    18 4.230 0.337 0.135 0.89
    38 4.411 0.371 0.123 0.96
    79 4.565 0.393 0.112 1.35
   163 4.759 0.429 0.096 1.25
   338 4.862 0.471 0.094 1.72
   700 4.992 0.509 0.099 3.16
  1449 5.118 0.565 0.095 5.54
  3000 5.233 0.616 0.081 15.99
SUMMARY: p=7.0 q=1.0 r=2.0 c=2.0000 rho=0.5 L=24 nbrs=5.215 nbrs_over_random=1.738 aligned=0.604 S=12.73 accept=0.085 records=6894 seconds=174
