weights (7.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.370 0.293 0.381 0.36
     2 2.471 0.324 0.321 0.34
     4 2.580 0.365 0.293 0.31
     9 2.689 0.393 0.268 0.25
    18 2.846 0.418 0.265 0.40
    38 2.924 0.454 0.257 0.28
    79 3.108 0.495 0.251 0.43
   163 3.178 0.540 0.245 0.54
   338 3.503 0.614 0.243 2.98
   700 3.837 0.701 0.238 3.14
  1449 4.150 0.778 0.221 11.30
  3000 4.404 0.830 0.224 24.98
SUMMARY: p=7.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.352 nbrs_over_random=2.418 aligned=0.825 S=17.09 accept=0.222 records=4173 seconds=115
