weights (12.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.148 0.338 0.387 0.43
     2 3.182 0.385 0.305 0.47
     4 3.255 0.425 0.269 0.41
     9 3.327 0.494 0.240 0.63
    18 3.372 0.550 0.233 0.55
    38 3.466 0.628 0.209 0.61
    79 3.617 0.709 0.189 0.93
   163 3.798 0.785 0.178 1.06
   338 4.004 0.840 0.169 1.04
   700 4.204 0.890 0.165 0.67
  1449 4.367 0.915 0.159 0.70
  3000 4.487 0.938 0.161 3.25
SUMMARY: p=12.0 q=1.0 r=2.0 c=0.5000 rho=0.5 L=24 nbrs=4.482 nbrs_over_random=1.494 aligned=0.934 S=3.17 accept=0.160 records=6894 seconds=119
