weights (8.0,1.0,2.0) scale c=2.0000 (2) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.305 0.257 0.367 0.12
     2 1.467 0.273 0.291 0.13
     4 1.620 0.347 0.251 0.12
     9 1.745 0.368 0.247 0.11
    18 1.958 0.398 0.221 0.26
    38 2.158 0.414 0.233 0.29
    79 2.563 0.446 0.197 0.35
   163 2.874 0.465 0.194 0.55
   338 3.367 0.517 0.168 0.60
   700 3.695 0.581 0.156 1.35
  1449 4.096 0.641 0.154 3.41
  3000 4.360 0.717 0.131 8.04
SUMMARY: p=8.0 q=1.0 r=2.0 c=2.0000 rho=0.1 L=24 nbrs=4.240 nbrs_over_random=7.067 aligned=0.721 S=6.31 accept=0.147 records=1396 seconds=164
