weights (12.0,1.0,2.0) scale c=1.0000 (1) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.043 0.309 0.420 0.13
     2 1.143 0.377 0.368 0.14
     4 1.248 0.451 0.332 0.11
     9 1.381 0.506 0.304 0.17
    18 1.513 0.540 0.295 0.17
    38 1.655 0.563 0.286 0.27
    79 1.765 0.600 0.287 0.21
   163 2.014 0.679 0.250 0.39
   338 2.335 0.720 0.262 1.53
   700 2.887 0.814 0.241 3.32
  1449 3.527 0.877 0.230 6.55
  3000 3.974 0.953 0.185 8.01
SUMMARY: p=12.0 q=1.0 r=2.0 c=1.0000 rho=0.1 L=24 nbrs=3.944 nbrs_over_random=6.573 aligned=0.941 S=7.70 accept=0.190 records=1396 seconds=173
