weights (16.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.784 0.433 0.440 0.14
     2 0.850 0.511 0.390 0.17
     4 0.990 0.564 0.373 0.15
     9 1.060 0.632 0.353 0.18
    18 1.043 0.683 0.343 0.24
    38 1.070 0.672 0.356 0.29
    79 1.251 0.715 0.324 0.29
   163 1.287 0.725 0.327 0.16
   338 1.441 0.768 0.333 0.75
   700 1.822 0.854 0.333 0.74
  1449 2.560 0.926 0.315 3.08
  3000 3.304 0.970 0.297 6.25
SUMMARY: p=16.0 q=1.0 r=2.0 c=0.5000 rho=0.1 L=24 nbrs=3.177 nbrs_over_random=5.295 aligned=0.969 S=5.19 accept=0.294 records=1396 seconds=110
