weights (7.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.093 0.303 0.425 0.40
     2 3.115 0.344 0.368 0.35
     4 3.180 0.375 0.349 0.45
     9 3.195 0.419 0.326 0.32
    18 3.200 0.446 0.326 0.23
    38 3.244 0.486 0.320 0.46
    79 3.330 0.530 0.305 0.31
   163 3.372 0.574 0.304 0.31
   338 3.429 0.616 0.305 1.57
   700 3.619 0.721 0.296 2.27
  1449 3.787 0.777 0.305 1.51
  3000 3.934 0.836 0.301 12.62
SUMMARY: p=7.0 q=1.0 r=2.0 c=0.5000 rho=0.5 L=24 nbrs=3.895 nbrs_over_random=1.298 aligned=0.817 S=13.29 accept=0.306 records=6894 seconds=115
