weights (7.0,1.0,2.0) scale c=1.0000 (1) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.417 0.279 0.376 0.47
     2 3.524 0.301 0.298 0.54
     4 3.589 0.339 0.270 0.51
     9 3.664 0.374 0.249 0.50
    18 3.771 0.402 0.236 0.37
    38 3.876 0.439 0.227 0.35
    79 3.994 0.492 0.209 1.20
   163 4.069 0.533 0.209 2.46
   338 4.280 0.605 0.199 4.67
   700 4.502 0.675 0.202 9.12
  1449 4.745 0.752 0.192 15.42
  3000 4.967 0.810 0.178 20.41
SUMMARY: p=7.0 q=1.0 r=2.0 c=1.0000 rho=0.5 L=24 nbrs=4.904 nbrs_over_random=1.635 aligned=0.804 S=19.27 accept=0.180 records=6894 seconds=112
