weights (11.0,1.0,2.0) scale c=0.3000 (neutral) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.553 0.427 0.454 0.14
     2 0.583 0.474 0.442 0.16
     4 0.599 0.505 0.436 0.12
     9 0.577 0.553 0.429 0.06
    18 0.642 0.616 0.435 0.08
    38 0.617 0.550 0.429 0.10
    79 0.593 0.541 0.437 0.06
   163 0.600 0.539 0.424 0.02
   338 0.645 0.547 0.426 0.20
   700 0.606 0.582 0.424 0.13
  1449 0.576 0.542 0.433 0.09
  3000 0.628 0.541 0.432 0.11
SUMMARY: p=11.0 q=1.0 r=2.0 c=0.3000 rho=0.1 L=24 nbrs=0.610 nbrs_over_random=1.016 aligned=0.557 S=0.09 accept=0.426 records=1396 seconds=112
