weights (16.0,1.0,2.0) scale c=1.0000 (1) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.420 0.311 0.344 0.45
     2 3.520 0.348 0.233 0.41
     4 3.652 0.387 0.192 0.39
     9 3.754 0.433 0.157 0.51
    18 3.853 0.482 0.145 0.35
    38 4.012 0.536 0.121 0.55
    79 4.159 0.593 0.106 0.96
   163 4.318 0.655 0.095 0.88
   338 4.486 0.709 0.086 1.30
   700 4.633 0.756 0.073 2.37
  1449 4.779 0.788 0.062 3.58
  3000 4.922 0.819 0.065 6.63
SUMMARY: p=16.0 q=1.0 r=2.0 c=1.0000 rho=0.5 L=24 nbrs=4.892 nbrs_over_random=1.631 aligned=0.812 S=5.91 accept=0.062 records=6894 seconds=115
