weights (7.0,1.0,2.0) scale c=2.0000 (2) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.301 0.249 0.370 0.12
     2 1.458 0.283 0.292 0.12
     4 1.615 0.331 0.255 0.11
     9 1.798 0.343 0.252 0.13
    18 1.921 0.397 0.241 0.17
    38 2.123 0.404 0.240 0.19
    79 2.570 0.431 0.207 0.44
   163 2.921 0.450 0.208 0.81
   338 3.223 0.470 0.221 2.10
   700 3.812 0.525 0.191 3.12
  1449 3.984 0.606 0.184 4.28
  3000 4.299 0.671 0.181 6.53
SUMMARY: p=7.0 q=1.0 r=2.0 c=2.0000 rho=0.1 L=24 nbrs=4.183 nbrs_over_random=6.971 aligned=0.651 S=4.87 accept=0.180 records=1396 seconds=122
