weights (20.0,1.0,2.0) scale c=2.0000 (2) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.611 0.285 0.302 0.55
     2 3.710 0.314 0.172 0.56
     4 3.847 0.343 0.134 0.54
     9 4.010 0.373 0.106 0.56
    18 4.132 0.402 0.087 0.64
    38 4.303 0.435 0.070 0.83
    79 4.449 0.468 0.058 0.83
   163 4.608 0.507 0.046 0.83
   338 4.716 0.545 0.048 1.25
   700 4.804 0.598 0.038 1.01
  1449 4.891 0.647 0.029 1.44
  3000 4.979 0.689 0.029 2.62
SUMMARY: p=20.0 q=1.0 r=2.0 c=2.0000 rho=0.5 L=24 nbrs=4.960 nbrs_over_random=1.653 aligned=0.681 S=2.16 accept=0.028 records=6894 seconds=247
