weights (10.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.754 0.392 0.453 0.14
     2 0.797 0.426 0.423 0.17
     4 0.774 0.522 0.417 0.18
     9 0.857 0.550 0.413 0.21
    18 0.884 0.533 0.391 0.17
    38 0.847 0.530 0.403 0.12
    79 0.893 0.552 0.416 0.08
   163 0.934 0.534 0.417 0.12
   338 0.915 0.534 0.401 0.15
   700 0.827 0.499 0.428 0.10
  1449 0.918 0.534 0.401 0.14
  3000 0.845 0.517 0.417 0.31
SUMMARY: p=10.0 q=1.0 r=2.0 c=0.5000 rho=0.1 L=24 nbrs=0.883 nbrs_over_random=1.472 aligned=0.544 S=0.12 accept=0.407 records=1396 seconds=111
