weights (20.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.072 0.417 0.379 0.29
     2 2.165 0.479 0.288 0.27
     4 2.240 0.542 0.252 0.29
     9 2.382 0.585 0.233 0.29
    18 2.521 0.654 0.204 0.11
    38 2.731 0.727 0.195 0.19
    79 3.054 0.805 0.158 0.26
   163 3.305 0.867 0.148 0.30
   338 3.617 0.909 0.123 0.42
   700 3.837 0.928 0.123 0.95
  1449 4.055 0.951 0.104 1.03
  3000 4.275 0.972 0.102 1.85
SUMMARY: p=20.0 q=1.0 r=2.0 c=0.5000 rho=0.3 L=24 nbrs=4.236 nbrs_over_random=2.353 aligned=0.966 S=2.16 accept=0.108 records=4173 seconds=176
