weights (6.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=2 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.356 0.290 0.391 0.06
     2 2.450 0.313 0.329 0.07
     4 2.543 0.339 0.305 0.10
     9 2.699 0.370 0.289 0.17
    18 2.725 0.401 0.293 0.24
    38 2.838 0.441 0.275 0.37
    79 2.962 0.452 0.281 0.53
   163 3.106 0.464 0.268 0.94
   338 3.214 0.512 0.270 1.20
   700 3.353 0.558 0.272 2.60
  1449 3.838 0.656 0.272 10.36
  3000 4.169 0.756 0.272 22.67
SUMMARY: p=6.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.108 nbrs_over_random=2.282 aligned=0.744 S=18.33 accept=0.272 records=4188 seconds=117
