weights (12.0,1.0,2.0) scale c=0.2857 (neutral) rho=0.3 L=24 sweeps=3000 seed=4 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.653 0.436 0.385 0.11
     2 1.705 0.460 0.342 0.15
     4 1.728 0.529 0.316 0.11
     9 1.770 0.552 0.320 0.13
    18 1.814 0.592 0.315 0.22
    38 1.882 0.655 0.305 0.24
    79 1.978 0.668 0.302 0.10
   163 2.035 0.691 0.304 0.54
   338 2.152 0.738 0.300 0.63
   700 2.386 0.814 0.308 0.76
  1449 2.583 0.852 0.306 8.27
  3000 2.794 0.891 0.317 11.35
SUMMARY: p=12.0 q=1.0 r=2.0 c=0.2857 rho=0.3 L=24 nbrs=2.750 nbrs_over_random=1.528 aligned=0.875 S=12.34 accept=0.315 records=4145 seconds=119
