weights (5.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=20000 seed=5 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.341 0.275 0.403 0.25
     2 2.459 0.299 0.355 0.27
     6 2.597 0.333 0.322 0.27
    15 2.698 0.356 0.311 0.44
    37 2.727 0.360 0.313 0.31
    90 2.837 0.388 0.307 0.18
   222 2.928 0.380 0.308 0.16
   546 2.913 0.401 0.312 0.21
  1343 2.903 0.406 0.303 3.22
  3304 2.966 0.432 0.302 1.36
  8129 3.442 0.573 0.320 44.69
 20000 3.898 0.672 0.329 108.83
SUMMARY: p=5.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=3.836 nbrs_over_random=2.131 aligned=0.670 S=92.63 accept=0.321 records=4205 seconds=771
