weights (5.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=4 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.351 0.275 0.392 0.11
     2 2.463 0.293 0.348 0.09
     4 2.493 0.308 0.332 0.12
     9 2.641 0.324 0.322 0.19
    18 2.654 0.353 0.319 0.12
    38 2.722 0.370 0.322 0.16
    79 2.745 0.378 0.313 0.39
   163 2.821 0.390 0.313 1.02
   338 2.885 0.393 0.312 1.31
   700 2.938 0.408 0.303 1.44
  1449 2.932 0.433 0.316 0.60
  3000 3.155 0.475 0.310 5.06
SUMMARY: p=5.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=3.099 nbrs_over_random=1.721 aligned=0.463 S=4.89 accept=0.312 records=4145 seconds=122
