weights (5.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=3 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.372 0.276 0.391 0.10
     2 2.438 0.298 0.343 0.12
     4 2.545 0.314 0.331 0.12
     9 2.623 0.338 0.309 0.21
    18 2.665 0.345 0.317 0.55
    38 2.704 0.380 0.314 0.57
    79 2.795 0.379 0.306 0.27
   163 2.828 0.390 0.301 1.01
   338 2.915 0.402 0.308 1.67
   700 2.840 0.410 0.307 2.62
  1449 2.929 0.395 0.304 1.41
  3000 2.994 0.412 0.309 5.48
SUMMARY: p=5.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=2.950 nbrs_over_random=1.639 aligned=0.408 S=8.80 accept=0.310 records=4159 seconds=178
