===== runner cache v1 =====
runner: scripts/theta_assembly_paired_shift_fixed_grading_mckean_singer_2026_07_02.py
runner_sha256: cefc6206c6e64a168c8a753ba2736c668ba5b9ed65465067f9182b884c3c9829
timeout_sec: 120
exit_code: 0
elapsed_sec: 0.14
status: ok
----- stdout -----
| Gate | Quantity | Tolerance | Measured | Result |
|---|---|---:|---:|---|
| G0[B2Q(0)] | uniform plaquette phase and total flux | phase<1.0e-12; total<1.0e-10 | phase_resid=0.00000000000000000e+00; total_resid=0.00000000000000000e+00 | PASS |
| G0[B2Q(1)] | uniform plaquette phase and total flux | phase<1.0e-12; total<1.0e-10 | phase_resid=2.77555756156289135e-16; total_resid=0.00000000000000000e+00 | PASS |
| G0[B2Q(-1)] | uniform plaquette phase and total flux | phase<1.0e-12; total<1.0e-10 | phase_resid=2.77555756156289135e-16; total_resid=0.00000000000000000e+00 | PASS |
| G0[B2Q(2)] | uniform plaquette phase and total flux | phase<1.0e-12; total<1.0e-10 | phase_resid=5.11787526652090422e-16; total_resid=0.00000000000000000e+00 | PASS |
| G0[B2Q(-2)] | uniform plaquette phase and total flux | phase<1.0e-12; total<1.0e-10 | phase_resid=5.11787526652090422e-16; total_resid=0.00000000000000000e+00 | PASS |
| G1[B4free] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G1[B4rand] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G1[B2Q(0)] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G1[B2Q(1)] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G1[B2Q(-1)] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G1[B2Q(2)] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G1[B2Q(-2)] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G1[Btoy] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G2[B4free] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=2.66453525910037570e-15; t=1.0:resid=8.57647286522933427e-15; t=3.0:resid=1.58245812287294285e-14; max=1.58245812287294285e-14 | PASS |
| G2[B4rand] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=2.76445533131663979e-14; t=1.0:resid=1.77358128183868757e-14; t=3.0:resid=1.25951766377641050e-14; max=2.76445533131663979e-14 | PASS |
| G2[B2Q(0)] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=8.88178419700125232e-16; t=1.0:resid=1.44328993201270350e-15; t=3.0:resid=2.91433543964103592e-15; max=2.91433543964103592e-15 | PASS |
| G2[B2Q(1)] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=1.99840144432528177e-15; t=1.0:resid=2.02615701994091069e-15; t=3.0:resid=3.91353616180367680e-15; max=3.91353616180367680e-15 | PASS |
| G2[B2Q(-1)] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=1.99840144432528177e-15; t=1.0:resid=2.02615701994091069e-15; t=3.0:resid=3.91353616180367680e-15; max=3.91353616180367680e-15 | PASS |
| G2[B2Q(2)] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=9.43689570931383059e-16; t=1.0:resid=1.88737914186276612e-15; t=3.0:resid=4.46864767411625508e-15; max=4.46864767411625508e-15 | PASS |
| G2[B2Q(-2)] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=9.43689570931383059e-16; t=1.0:resid=1.88737914186276612e-15; t=3.0:resid=4.46864767411625508e-15; max=4.46864767411625508e-15 | PASS |
| G2[Btoy] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=0.00000000000000000e+00; t=1.0:resid=1.11022302462515654e-16; t=3.0:resid=6.66133814775093924e-16; max=6.66133814775093924e-16 | PASS |
