weights (1.0,1.0,1.0) scale c=2.8000 (2.8) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.563 0.164 0.375 0.44
     2 3.637 0.162 0.317 0.43
     4 3.754 0.166 0.306 0.51
     9 3.834 0.171 0.298 0.48
    18 3.924 0.166 0.300 0.90
    38 4.023 0.169 0.297 1.65
    79 4.072 0.166 0.299 2.52
   163 4.158 0.168 0.298 2.18
   338 4.263 0.164 0.311 2.80
   700 4.407 0.170 0.302 11.30
  1449 4.438 0.163 0.314 12.81
  3000 4.557 0.166 0.314 34.56
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.8000 rho=0.5 L=24 nbrs=4.523 nbrs_over_random=1.508 aligned=0.167 S=34.38 accept=0.315 records=6894 seconds=180
