weights (1.0,1.0,1.0) scale c=2.5000 (2.5) rho=0.5 L=16 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.530 0.169 0.388 0.27
     2 3.619 0.163 0.352 0.41
     4 3.725 0.173 0.333 0.41
     9 3.715 0.174 0.334 0.74
    18 3.803 0.169 0.317 0.34
    38 3.876 0.161 0.335 0.98
    79 3.920 0.178 0.320 2.36
   163 3.891 0.169 0.332 4.62
   338 3.890 0.168 0.334 4.52
   700 4.186 0.162 0.319 23.87
  1449 4.149 0.164 0.324 19.08
  3000 4.120 0.156 0.337 17.75
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.5000 rho=0.5 L=16 nbrs=4.017 nbrs_over_random=1.339 aligned=0.167 S=10.10 accept=0.331 records=2061 seconds=42
