weights (1.0,1.0,1.0) scale c=2.8000 (2.8) rho=0.5 L=16 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.578 0.176 0.374 0.27
     2 3.649 0.168 0.324 0.47
     4 3.787 0.160 0.302 0.63
     9 3.863 0.173 0.298 0.47
    18 3.948 0.167 0.277 0.30
    38 4.012 0.170 0.294 1.10
    79 4.085 0.164 0.303 1.47
   163 4.291 0.162 0.295 5.16
   338 4.352 0.166 0.309 12.83
   700 4.386 0.154 0.295 31.55
  1449 4.567 0.178 0.309 56.11
  3000 4.554 0.179 0.304 58.89
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.8000 rho=0.5 L=16 nbrs=4.532 nbrs_over_random=1.511 aligned=0.168 S=54.25 accept=0.314 records=2061 seconds=44
