weights (1.0,1.0,1.0) scale c=2.4000 (2.4) rho=0.5 L=32 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.514 0.169 0.396 0.33
     2 3.575 0.163 0.349 0.34
     4 3.653 0.169 0.348 0.31
     9 3.719 0.169 0.336 0.23
    18 3.774 0.168 0.337 0.21
    38 3.812 0.168 0.339 0.29
    79 3.832 0.167 0.338 0.24
   163 3.872 0.165 0.340 0.17
   338 3.877 0.166 0.337 1.69
   700 3.908 0.166 0.346 0.63
  1449 3.922 0.167 0.335 6.93
  3000 3.930 0.164 0.340 8.34
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.4000 rho=0.5 L=32 nbrs=3.940 nbrs_over_random=1.313 aligned=0.167 S=9.66 accept=0.342 records=16398 seconds=285
