weights (1.0,1.0,1.0) scale c=2.0000 (2.0) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.439 0.171 0.429 0.45
     2 3.457 0.168 0.393 0.56
     4 3.531 0.167 0.398 0.67
     9 3.578 0.166 0.386 0.72
    18 3.593 0.167 0.386 0.73
    38 3.570 0.165 0.390 0.78
    79 3.624 0.164 0.390 0.54
   163 3.547 0.166 0.380 0.44
   338 3.585 0.172 0.385 1.11
   700 3.621 0.166 0.387 0.90
  1449 3.612 0.164 0.386 4.40
  3000 3.593 0.163 0.395 1.71
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.0000 rho=0.5 L=24 nbrs=3.590 nbrs_over_random=1.197 aligned=0.167 S=1.09 accept=0.388 records=6894 seconds=163
