weights (10.0,1.0,1.0) scale c=0.4000 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.577 0.486 0.364 0.26
     2 1.622 0.548 0.300 0.24
     4 1.689 0.598 0.286 0.19
     9 1.775 0.668 0.257 0.38
    18 1.842 0.691 0.268 0.42
    38 1.986 0.736 0.250 0.25
    79 2.113 0.782 0.257 0.14
   163 2.260 0.844 0.252 0.40
   338 2.518 0.881 0.256 0.41
   700 2.903 0.923 0.255 1.37
  1449 3.152 0.950 0.274 8.24
  3000 3.442 0.960 0.285 23.38
SUMMARY: p=10.0 q=1.0 r=1.0 c=0.4000 rho=0.3 L=24 nbrs=3.409 nbrs_over_random=1.894 aligned=0.961 S=22.74 accept=0.274 records=4173 seconds=126
