weights (12.0,1.0,4.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.598 0.250 0.327 0.37
     2 2.760 0.287 0.235 0.40
     4 2.928 0.292 0.201 0.28
     9 3.158 0.329 0.171 0.35
    18 3.382 0.355 0.160 0.37
    38 3.580 0.375 0.152 0.54
    79 3.869 0.406 0.131 0.54
   163 4.121 0.423 0.128 0.52
   338 4.352 0.466 0.121 0.52
   700 4.544 0.508 0.121 0.62
  1449 4.685 0.556 0.118 1.72
  3000 4.886 0.610 0.121 1.31
SUMMARY: p=12.0 q=1.0 r=4.0 c=1.0000 rho=0.3 L=24 nbrs=4.845 nbrs_over_random=2.692 aligned=0.607 S=1.34 accept=0.115 records=4173 seconds=179
