weights (24.0,1.0,1.0) scale c=0.2069 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.348 0.560 0.302 0.32
     2 1.403 0.649 0.213 0.24
     4 1.497 0.709 0.191 0.23
     9 1.672 0.778 0.182 0.09
    18 1.819 0.831 0.175 0.14
    38 2.034 0.885 0.165 0.31
    79 2.263 0.921 0.165 0.33
   163 2.609 0.948 0.170 0.50
   338 2.957 0.970 0.169 0.86
   700 3.304 0.984 0.185 2.19
  1449 3.547 0.987 0.181 3.97
  3000 3.836 0.991 0.187 4.87
SUMMARY: p=24.0 q=1.0 r=1.0 c=0.2069 rho=0.3 L=24 nbrs=3.776 nbrs_over_random=2.098 aligned=0.991 S=5.48 accept=0.196 records=4173 seconds=128
