weights (8.0,2.0,4.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.643 0.221 0.332 0.36
     2 2.815 0.234 0.244 0.29
     4 2.953 0.242 0.233 0.36
     9 3.204 0.265 0.206 0.36
    18 3.388 0.272 0.193 0.35
    38 3.661 0.282 0.190 0.69
    79 3.906 0.309 0.172 1.17
   163 4.170 0.316 0.181 2.73
   338 4.336 0.321 0.181 2.67
   700 4.448 0.343 0.171 6.77
  1449 4.715 0.349 0.185 19.78
  3000 4.884 0.365 0.206 60.19
SUMMARY: p=8.0 q=2.0 r=4.0 c=1.0000 rho=0.3 L=24 nbrs=4.875 nbrs_over_random=2.708 aligned=0.365 S=47.38 accept=0.192 records=4173 seconds=125
