weights (4.0,1.0,4.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.570 0.174 0.350 0.34
     2 2.694 0.180 0.277 0.36
     4 2.873 0.183 0.251 0.41
     9 3.043 0.182 0.244 0.50
    18 3.260 0.183 0.232 0.69
    38 3.371 0.189 0.220 0.60
    79 3.623 0.188 0.221 0.89
   163 3.771 0.187 0.225 1.51
   338 3.925 0.197 0.228 1.88
   700 4.151 0.182 0.240 5.52
  1449 4.372 0.189 0.239 20.76
  3000 4.620 0.190 0.262 74.29
SUMMARY: p=4.0 q=1.0 r=4.0 c=1.0000 rho=0.3 L=24 nbrs=4.562 nbrs_over_random=2.535 aligned=0.191 S=54.77 accept=0.250 records=4173 seconds=118
