weights (3.0,1.0,1.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.977 0.299 0.453 0.32
     2 1.988 0.338 0.431 0.29
     4 2.052 0.354 0.419 0.28
     9 2.022 0.375 0.418 0.28
    18 2.071 0.368 0.417 0.19
    38 2.118 0.385 0.411 0.32
    79 2.100 0.388 0.412 0.09
   163 2.107 0.392 0.418 0.43
   338 2.104 0.393 0.412 0.51
   700 2.092 0.384 0.419 0.33
  1449 2.119 0.387 0.409 0.38
  3000 2.090 0.385 0.413 0.34
SUMMARY: p=3.0 q=1.0 r=1.0 c=1.0000 rho=0.3 L=24 nbrs=2.085 nbrs_over_random=1.159 aligned=0.389 S=0.30 accept=0.412 records=4173 seconds=112
