weights (4.0,1.0,3.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.497 0.206 0.371 0.37
     2 2.568 0.213 0.313 0.36
     4 2.710 0.219 0.311 0.35
     9 2.867 0.232 0.288 0.30
    18 2.973 0.234 0.291 0.35
    38 3.056 0.235 0.282 0.80
    79 3.174 0.234 0.282 0.78
   163 3.305 0.231 0.280 1.56
   338 3.414 0.238 0.280 3.11
   700 3.556 0.236 0.295 10.87
  1449 3.602 0.247 0.293 19.27
  3000 3.842 0.254 0.305 64.23
SUMMARY: p=4.0 q=1.0 r=3.0 c=1.0000 rho=0.3 L=24 nbrs=3.835 nbrs_over_random=2.131 aligned=0.246 S=43.30 accept=0.299 records=4173 seconds=128
