weights (4.0,1.0,1.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.045 0.337 0.434 0.32
     2 2.072 0.374 0.393 0.33
     4 2.126 0.412 0.382 0.34
     9 2.201 0.437 0.374 0.41
    18 2.208 0.453 0.363 0.34
    38 2.234 0.480 0.359 0.70
    79 2.239 0.496 0.362 0.53
   163 2.288 0.499 0.358 0.75
   338 2.279 0.502 0.362 0.85
   700 2.284 0.538 0.355 0.52
  1449 2.382 0.560 0.353 2.81
  3000 2.582 0.652 0.352 5.48
SUMMARY: p=4.0 q=1.0 r=1.0 c=1.0000 rho=0.3 L=24 nbrs=2.524 nbrs_over_random=1.402 aligned=0.631 S=4.57 accept=0.355 records=4173 seconds=120
