weights (4.0,1.0,3.0) scale c=0.3529 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.794 0.221 0.469 0.33
     2 1.803 0.219 0.457 0.28
     4 1.815 0.236 0.463 0.23
     9 1.786 0.225 0.463 0.31
    18 1.841 0.244 0.458 0.26
    38 1.807 0.244 0.457 0.40
    79 1.815 0.247 0.457 0.24
   163 1.809 0.241 0.451 0.27
   338 1.851 0.241 0.457 0.41
   700 1.803 0.232 0.460 0.29
  1449 1.780 0.229 0.449 0.37
  3000 1.847 0.240 0.457 0.09
SUMMARY: p=4.0 q=1.0 r=3.0 c=0.3529 rho=0.3 L=24 nbrs=1.813 nbrs_over_random=1.007 aligned=0.237 S=0.20 accept=0.456 records=4173 seconds=119
