weights (16.0,1.0,3.0) scale c=0.2069 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.660 0.407 0.393 0.29
     2 1.694 0.459 0.338 0.29
     4 1.749 0.511 0.322 0.33
     9 1.784 0.552 0.322 0.13
    18 1.866 0.578 0.317 0.33
    38 1.859 0.607 0.313 0.20
    79 1.908 0.626 0.308 0.19
   163 1.977 0.668 0.309 0.28
   338 2.105 0.684 0.312 0.73
   700 2.042 0.668 0.320 0.88
  1449 2.249 0.769 0.305 3.45
  3000 2.607 0.834 0.320 12.17
SUMMARY: p=16.0 q=1.0 r=3.0 c=0.2069 rho=0.3 L=24 nbrs=2.521 nbrs_over_random=1.401 aligned=0.819 S=9.77 accept=0.319 records=4173 seconds=126
