weights (4.0,2.0,4.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.612 0.168 0.347 0.41
     2 2.743 0.178 0.279 0.45
     4 2.891 0.185 0.266 0.48
     9 3.111 0.180 0.248 0.45
    18 3.225 0.177 0.241 0.59
    38 3.409 0.182 0.233 0.92
    79 3.642 0.181 0.226 1.19
   163 3.907 0.175 0.227 2.25
   338 4.180 0.188 0.228 2.35
   700 4.223 0.182 0.241 5.81
  1449 4.449 0.183 0.244 18.37
  3000 4.662 0.184 0.259 67.00
SUMMARY: p=4.0 q=2.0 r=4.0 c=1.0000 rho=0.3 L=24 nbrs=4.622 nbrs_over_random=2.568 aligned=0.182 S=47.68 accept=0.254 records=4173 seconds=116
