weights (24.0,1.0,4.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.587 0.285 0.313 0.38
     2 2.749 0.323 0.201 0.40
     4 2.905 0.352 0.165 0.43
     9 3.128 0.395 0.132 0.52
    18 3.373 0.408 0.129 0.74
    38 3.615 0.450 0.102 0.93
    79 3.859 0.478 0.095 1.44
   163 4.092 0.528 0.071 1.74
   338 4.281 0.564 0.074 2.16
   700 4.498 0.612 0.060 2.63
  1449 4.643 0.667 0.063 3.74
  3000 4.796 0.719 0.046 5.43
SUMMARY: p=24.0 q=1.0 r=4.0 c=1.0000 rho=0.3 L=24 nbrs=4.762 nbrs_over_random=2.646 aligned=0.712 S=4.99 accept=0.049 records=4173 seconds=169
