weights (3.0,1.0,3.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.465 0.178 0.380 0.33
     2 2.547 0.173 0.327 0.41
     4 2.679 0.189 0.319 0.47
     9 2.787 0.181 0.303 0.40
    18 2.872 0.184 0.308 0.37
    38 2.940 0.182 0.303 0.55
    79 3.046 0.191 0.301 0.79
   163 3.007 0.192 0.308 1.95
   338 3.173 0.195 0.294 2.36
   700 3.131 0.185 0.303 7.05
  1449 3.294 0.192 0.307 14.50
  3000 3.403 0.194 0.304 44.22
SUMMARY: p=3.0 q=1.0 r=3.0 c=1.0000 rho=0.3 L=24 nbrs=3.386 nbrs_over_random=1.881 aligned=0.188 S=33.97 accept=0.309 records=4173 seconds=173
