weights (8.0,1.0,3.0) scale c=0.2857 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.787 0.327 0.441 0.32
     2 1.808 0.355 0.408 0.27
     4 1.791 0.380 0.408 0.23
     9 1.820 0.378 0.405 0.14
    18 1.829 0.373 0.407 0.17
    38 1.824 0.382 0.406 0.23
    79 1.816 0.384 0.407 0.42
   163 1.835 0.393 0.405 0.17
   338 1.818 0.401 0.404 0.55
   700 1.833 0.406 0.403 0.16
  1449 1.800 0.394 0.400 0.12
  3000 1.847 0.395 0.400 0.37
SUMMARY: p=8.0 q=1.0 r=3.0 c=0.2857 rho=0.3 L=24 nbrs=1.824 nbrs_over_random=1.014 aligned=0.394 S=0.24 accept=0.403 records=4173 seconds=179
