weights (3.0,1.0,3.0) scale c=0.3750 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.830 0.186 0.471 0.31
     2 1.815 0.183 0.462 0.24
     4 1.820 0.197 0.467 0.16
     9 1.828 0.190 0.467 0.14
    18 1.808 0.187 0.459 0.15
    38 1.790 0.182 0.463 0.11
    79 1.820 0.178 0.468 0.41
   163 1.789 0.182 0.464 0.22
   338 1.814 0.189 0.469 0.29
   700 1.825 0.199 0.464 0.19
  1449 1.847 0.184 0.461 0.11
  3000 1.822 0.181 0.456 0.08
SUMMARY: p=3.0 q=1.0 r=3.0 c=0.3750 rho=0.3 L=24 nbrs=1.812 nbrs_over_random=1.007 aligned=0.188 S=0.22 accept=0.462 records=4173 seconds=123
