weights (16.0,1.0,1.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.196 0.412 0.364 0.32
     2 2.273 0.474 0.265 0.28
     4 2.361 0.536 0.212 0.25
     9 2.489 0.596 0.182 0.24
    18 2.677 0.651 0.161 0.28
    38 2.831 0.739 0.139 0.24
    79 3.115 0.801 0.124 0.17
   163 3.399 0.861 0.095 0.11
   338 3.627 0.907 0.094 0.12
   700 3.897 0.927 0.065 0.31
  1449 4.081 0.943 0.073 0.83
  3000 4.307 0.951 0.065 1.13
SUMMARY: p=16.0 q=1.0 r=1.0 c=1.0000 rho=0.3 L=24 nbrs=4.277 nbrs_over_random=2.376 aligned=0.948 S=1.02 accept=0.061 records=4173 seconds=118
