weights (6.0,2.0,4.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.624 0.204 0.340 0.37
     2 2.775 0.214 0.262 0.34
     4 2.954 0.224 0.244 0.40
     9 3.160 0.228 0.219 0.37
    18 3.362 0.241 0.217 0.42
    38 3.585 0.239 0.207 0.39
    79 3.840 0.254 0.198 0.55
   163 4.054 0.256 0.213 1.23
   338 4.267 0.263 0.207 2.10
   700 4.477 0.269 0.216 4.81
  1449 4.665 0.270 0.222 19.05
  3000 4.820 0.267 0.221 35.51
SUMMARY: p=6.0 q=2.0 r=4.0 c=1.0000 rho=0.3 L=24 nbrs=4.766 nbrs_over_random=2.648 aligned=0.262 S=31.41 accept=0.222 records=4173 seconds=114
