weights (24.0,1.0,1.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.208 0.424 0.354 0.34
     2 2.295 0.490 0.243 0.29
     4 2.416 0.550 0.184 0.31
     9 2.511 0.616 0.160 0.29
    18 2.690 0.672 0.132 0.43
    38 2.864 0.745 0.112 0.33
    79 3.135 0.809 0.092 0.36
   163 3.356 0.856 0.074 0.38
   338 3.631 0.889 0.057 0.38
   700 3.792 0.916 0.049 0.80
  1449 3.990 0.928 0.041 1.14
  3000 4.159 0.935 0.043 0.53
SUMMARY: p=24.0 q=1.0 r=1.0 c=1.0000 rho=0.3 L=24 nbrs=4.124 nbrs_over_random=2.291 aligned=0.938 S=0.88 accept=0.039 records=4173 seconds=110
