weights (3.0,1.0,4.0) scale c=0.3000 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.843 0.157 0.461 0.27
     2 1.781 0.157 0.450 0.20
     4 1.820 0.155 0.451 0.11
     9 1.796 0.141 0.447 0.06
    18 1.815 0.157 0.451 0.13
    38 1.791 0.146 0.441 0.06
    79 1.825 0.142 0.445 0.41
   163 1.793 0.154 0.437 0.07
   338 1.824 0.159 0.452 0.08
   700 1.837 0.148 0.451 0.08
  1449 1.842 0.152 0.444 0.05
  3000 1.771 0.152 0.444 0.20
SUMMARY: p=3.0 q=1.0 r=4.0 c=0.3000 rho=0.3 L=24 nbrs=1.812 nbrs_over_random=1.007 aligned=0.149 S=0.21 accept=0.446 records=4173 seconds=119
