weights (12.0,1.0,3.0) scale c=0.2400 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.692 0.381 0.412 0.32
     2 1.698 0.420 0.369 0.29
     4 1.764 0.446 0.363 0.32
     9 1.800 0.466 0.364 0.28
    18 1.820 0.503 0.356 0.12
    38 1.847 0.506 0.353 0.28
    79 1.862 0.518 0.347 0.34
   163 1.908 0.520 0.353 0.23
   338 1.909 0.529 0.350 0.22
   700 1.873 0.507 0.358 0.43
  1449 1.908 0.549 0.345 0.19
  3000 1.932 0.523 0.343 0.19
SUMMARY: p=12.0 q=1.0 r=3.0 c=0.2400 rho=0.3 L=24 nbrs=1.888 nbrs_over_random=1.049 aligned=0.534 S=0.23 accept=0.352 records=4173 seconds=129
