weights (12.0,1.0,2.0) scale c=1.0000 (1) rho=0.2 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.818 0.342 0.375 0.32
     2 1.936 0.382 0.300 0.39
     4 2.050 0.422 0.275 0.39
     9 2.201 0.483 0.239 0.44
    18 2.337 0.529 0.224 0.32
    38 2.547 0.573 0.203 0.32
    79 2.751 0.630 0.205 0.47
   163 3.090 0.698 0.190 1.34
   338 3.534 0.780 0.155 1.96
   700 3.838 0.840 0.146 3.26
  1449 4.056 0.873 0.136 3.93
  3000 4.361 0.895 0.133 5.37
SUMMARY: p=12.0 q=1.0 r=2.0 c=1.0000 rho=0.2 L=24 nbrs=4.283 nbrs_over_random=3.569 aligned=0.891 S=4.63 accept=0.133 records=2773 seconds=122
