weights (24.0,1.0,2.0) scale c=0.1818 (neutral) rho=0.7 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=4.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 4.022 0.311 0.354 0.25
     2 3.995 0.361 0.225 0.25
     4 4.004 0.412 0.173 0.17
     9 4.028 0.475 0.152 0.18
    18 4.061 0.536 0.130 0.23
    38 4.111 0.604 0.122 0.25
    79 4.201 0.681 0.104 0.17
   163 4.284 0.756 0.101 0.09
   338 4.386 0.812 0.092 0.39
   700 4.475 0.861 0.094 0.34
  1449 4.550 0.902 0.089 0.09
  3000 4.619 0.931 0.100 1.07
SUMMARY: p=24.0 q=1.0 r=2.0 c=0.1818 rho=0.7 L=24 nbrs=4.620 nbrs_over_random=1.100 aligned=0.925 S=0.43 accept=0.094 records=9646 seconds=160
