weights (24.0,1.0,2.0) scale c=1.0000 (1) rho=0.7 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=4.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 4.392 0.278 0.354 0.27
     2 4.436 0.315 0.231 0.27
     4 4.484 0.352 0.176 0.23
     9 4.544 0.401 0.139 0.22
    18 4.612 0.441 0.114 0.14
    38 4.638 0.491 0.101 0.10
    79 4.726 0.543 0.085 0.32
   163 4.799 0.598 0.069 0.55
   338 4.890 0.646 0.056 0.36
   700 4.939 0.700 0.048 0.51
  1449 5.034 0.738 0.041 0.83
  3000 5.128 0.763 0.036 1.01
SUMMARY: p=24.0 q=1.0 r=2.0 c=1.0000 rho=0.7 L=24 nbrs=5.108 nbrs_over_random=1.216 aligned=0.758 S=0.80 accept=0.039 records=9646 seconds=116
