weights (48.0,1.0,2.0) scale c=1.0000 (1) rho=0.2 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.841 0.399 0.346 0.31
     2 1.957 0.460 0.231 0.28
     4 2.113 0.518 0.171 0.30
     9 2.282 0.569 0.140 0.38
    18 2.438 0.604 0.122 0.32
    38 2.627 0.667 0.098 0.32
    79 2.837 0.718 0.084 0.28
   163 3.141 0.766 0.069 0.25
   338 3.437 0.811 0.053 0.35
   700 3.607 0.852 0.044 0.41
  1449 3.781 0.886 0.032 0.37
  3000 3.908 0.902 0.021 0.49
SUMMARY: p=48.0 q=1.0 r=2.0 c=1.0000 rho=0.2 L=24 nbrs=3.893 nbrs_over_random=3.245 aligned=0.898 S=0.54 accept=0.028 records=2773 seconds=112
