weights (48.0,1.0,2.0) scale c=0.1053 (neutral) rho=0.7 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=4.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.940 0.321 0.327 0.22
     2 3.925 0.376 0.184 0.21
     4 3.900 0.423 0.123 0.22
     9 3.920 0.487 0.102 0.25
    18 3.965 0.548 0.088 0.09
    38 4.024 0.611 0.076 0.18
    79 4.078 0.681 0.064 0.18
   163 4.179 0.743 0.063 0.19
   338 4.274 0.797 0.059 0.01
   700 4.376 0.848 0.056 0.03
  1449 4.453 0.890 0.053 0.35
  3000 4.543 0.929 0.054 0.17
SUMMARY: p=48.0 q=1.0 r=2.0 c=0.1053 rho=0.7 L=24 nbrs=4.533 nbrs_over_random=1.079 aligned=0.921 S=0.14 accept=0.056 records=9646 seconds=123
